id,srno,state,city,pm10,monitors-p10,readings-pm10,pm25,monitors-pm25,readings-pm25,year
1,1,Andhra Pradesh,Anantapur,85,1,106,,0,0,2016
2,2,Andhra Pradesh,Chitoor,62,2,214,,0,0,2016
3,3,Andhra Pradesh,Eluru,70,1,108,,0,0,2016
4,4,Andhra Pradesh,Guntur,88,1,101,,0,0,2016
5,5,Andhra Pradesh,Kadapa,68,1,108,,0,0,2016
6,6,Andhra Pradesh,Kurnool,69,1,108,,0,0,2016
7,7,Andhra Pradesh,Nellore,66,1,107,,0,0,2016
8,8,Andhra Pradesh,Ongole,65,1,98,,0,0,2016
9,9,Andhra Pradesh,Rajahmundry,64,1,102,,0,0,2016
10,10,Andhra Pradesh,Srikakulam,71,1,102,,0,0,2016
11,11,Andhra Pradesh,Vijaywada,102,3,297,,0,0,2016
12,12,Andhra Pradesh,Vishakhapatnam,77,8,855,,0,0,2016
13,13,Andhra Pradesh,Vizianagaram,85,1,97,,0,0,2016
14,14,Assam,Guwahati,105,6,1288,,0,0,2016
15,15,Assam,Nagaon,111,1,55,,0,0,2016
16,16,Assam,Nalbari,108,1,103,,0,0,2016
17,17,Assam,Sibsagar,75,2,191,,0,0,2016
18,18,Assam,Silchar,58,2,168,,0,0,2016
19,19,Bihar,Gaya,,0,0,,0,0,2016
20,20,Bihar,Muzaffarpur,,0,0,,0,0,2016
21,21,Bihar,Patna,212,2,201,,0,0,2016
22,22,Chandigarh,Chandigarh,105,5,659,123,5,68,2016
23,23,Chattisgarh,Durg-Bhillainagar,108,3,248,,0,0,2016
24,24,Chattisgarh,Korba,,0,0,,0,0,2016
25,25,Chattisgarh,Raipur,148,2,129,,0,0,2016
26,26,Delhi,Delhi,278,9,848,118,7,564,2016
27,27,Gujarat,Ahmedabad,108,8,719,34,8,719,2016
28,28,Gujarat,Rajkot,93,2,202,32,2,202,2016
29,29,Gujarat,Surat,92,3,278,31,3,278,2016
30,30,Gujarat,Vadodara,93,3,257,30,3,257,2016
31,31,Himachal Pradesh,Baddi,90,3,163,,0,0,2016
32,32,Himachal Pradesh,Damtal,85,2,271,,0,0,2016
33,33,Himachal Pradesh,Kala Amb,129,2,311,,0,0,2016
34,34,Himachal Pradesh,Nalagarh,108,1,113,,0,0,2016
35,35,Himachal Pradesh,Paonta Sahib,102,2,277,,0,0,2016
36,36,Himachal Pradesh,Parwanoo,70,2,276,,0,0,2016
37,37,Himachal Pradesh,Sunder Nagar,92,2,260,,0,0,2016
38,38,Jammu & Kashmir,Jammu,131,3,275,,0,0,2016
39,39,Jammu & Kashmir,Srinagar,,0,0,,0,0,2016
40,40,Jharkhand,Dhanbad,226,3,245,,0,0,2016
41,41,Jharkhand,Jamshedpur,136,2,123,,0,0,2016
42,42,Jharkhand,Ranchi,196,1,64,,0,0,2016
43,43,Karnataka,Bangalore,103,8,731,51,5,429,2016
44,44,Karnataka,Devanagere,94,3,157,,0,0,2016
45,45,Karnataka,Gulbarga,60,1,101,,0,0,2016
46,46,Karnataka,Hubli-Dharwad,84,2,208,36,2,161,2016
47,47,Madhya Pradesh,Bhopal,89,7,501,27,7,301,2016
48,48,Madhya Pradesh,Dewas,89,3,283,,0,0,2016
49,49,Madhya Pradesh,Gwalior,96,2,146,52,2,12,2016
50,50,Madhya Pradesh,Indore,95,3,269,53,3,272,2016
51,51,Madhya Pradesh,Jabalpur,71,2,118,32,2,106,2016
52,52,Madhya Pradesh,Sagar,79,1,94,30,2,146,2016
53,53,Madhya Pradesh,Ujjain,90,4,280,44,4,197,2016
54,54,Maharashtra,Akola,126,3,300,,0,0,2016
55,55,Maharashtra,Amravati,100,3,223,,0,0,2016
56,56,Maharashtra,Aurangabad,92,3,300,,0,0,2016
57,57,Maharashtra,Badlapur,125,1,75,,0,0,2016
58,58,Maharashtra,Chandrapur,111,6,744,,0,0,2016
59,59,Maharashtra,Jalgaon,103,3,308,,0,0,2016
60,60,Maharashtra,Jalna,110,2,191,,0,0,2016
61,61,Maharashtra,Kolhapur,96,3,251,,0,0,2016
62,62,Maharashtra,Latur,81,3,326,,0,0,2016
63,63,Maharashtra,Mumbai,119,2,151,,0,0,2016
64,64,Maharashtra,Nagpur,118,7,859,,0,0,2016
65,65,Maharashtra,Nashik,85,4,622,,0,0,2016
66,66,Maharashtra,Navi Mumbai,118,6,661,,0,0,2016
67,67,Maharashtra,Pune,107,3,290,,0,0,2016
68,68,Maharashtra,Sangli,83,3,339,,0,0,2016
69,69,Maharashtra,Solapur,74,2,205,,0,0,2016
70,70,Maharashtra,Thane,122,3,287,,0,0,2016
71,71,Maharashtra,Ulhasnagar,118,2,147,,0,0,2016
72,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2016
73,73,Meghalaya,Byrnihat,175,1,75,,0,0,2016
74,74,Nagaland,Dimapur,122,2,192,,0,0,2016
75,75,Nagaland,Kohima,90,2,199,,0,0,2016
76,76,Orissa,Angul,97,2,210,,0,0,2016
77,77,Orissa,Balasore,85,3,258,47,3,253,2016
78,78,Orissa,Bhubaneswar,105,6,517,36,6,451,2016
79,79,Orissa,Cuttack,81,3,317,42,3,310,2016
80,80,Orissa,Kalinga Nagar,113,3,295,46,3,281,2016
81,81,Orissa,Rourkela,75,5,365,45,2,131,2016
82,82,Orissa,Talcher,105,2,212,35,5,356,2016
83,83,Punjab,Amritsar,194,3,129,,0,0,2016
84,84,Punjab,Dera Baba Nanak,89,1,98,,0,0,2016
85,85,Punjab,Dera Bassi,98,2,204,,0,0,2016
86,86,Punjab,Gobindgarh,148,5,513,,0,0,2016
87,87,Punjab,Jalandhar,,0,0,,0,0,2016
88,88,Punjab,Khanna,114,2,254,,0,0,2016
89,89,Punjab,Ludhiana,139,4,503,,0,0,2016
90,90,Punjab,Naya Nangal,91,2,183,,0,0,2016
91,91,Punjab,Patiala,106,2,232,,0,0,2016
92,92,Rajasthan,Alwar,144,3,299,,0,0,2016
93,93,Rajasthan,Jaipur,199,6,604,,0,0,2016
94,94,Rajasthan,Jodhpur,168,6,606,,0,0,2016
95,95,Rajasthan,Kota,110,6,470,,0,0,2016
96,96,Rajasthan,Udaipur,137,3,315,,0,0,2016
97,97,Tamil Nadu,Chennai,65,11,842,,0,0,2016
98,98,Tamil Nadu,Madurai,76,3,239,,0,0,2016
99,99,Tamil Nadu,Trichy,95,5,351,,0,0,2016
100,100,Tamil Nadu,Tuticorin,175,3,251,,0,0,2016
101,101,Telangana,Hyderabad,100,10,913,49,8,533,2016
102,102,Telangana,Nalgonda,62,2,205,35,1,9,2016
103,103,Telangana,Patancheru,78,1,106,33,3,216,2016
104,104,Telangana,Sangareddy,,0,0,,0,0,2016
105,105,Uttar Pradesh,Agra,198,6,805,,0,0,2016
106,106,Uttar Pradesh,Allahabad,195,5,532,,0,0,2016
107,107,Uttar Pradesh,Anpara,132,2,163,,0,0,2016
108,108,Uttar Pradesh,Bareily,253,2,104,,0,0,2016
109,109,Uttar Pradesh,Firozabad,223,2,212,,0,0,2016
110,110,Uttar Pradesh,Gajraula,193,2,200,,0,0,2016
111,111,Uttar Pradesh,Ghaziabad,236,2,219,,0,0,2016
112,112,Uttar Pradesh,Gorakhpur,,0,0,,0,0,2016
113,113,Uttar Pradesh,Jhansi,116,2,222,,0,0,2016
114,114,Uttar Pradesh,Kanpur,217,8,507,,0,0,2016
115,115,Uttar Pradesh,Khurja,216,2,178,,0,0,2016
116,116,Uttar Pradesh,Lucknow,214,7,692,,0,0,2016
117,117,Uttar Pradesh,Meerut,158,2,128,,0,0,2016
118,118,Uttar Pradesh,Moradabad,196,2,203,,0,0,2016
119,119,Uttar Pradesh,Noida,176,2,175,,0,0,2016
120,120,Uttar Pradesh,Raebareli,141,3,255,,0,0,2016
121,121,Uttar Pradesh,Varanasi,,0,0,,0,0,2016
122,122,Uttarakhand,Dehradun,241,3,214,,0,0,2016
123,123,Uttarakhand,Kashipur,126,1,98,,0,0,2016
124,124,Uttarakhand,Rishikesh,119,1,85,,0,0,2016
125,125,West Bengal,Asansol,211,3,295,88,1,86,2016
126,126,West Bengal,Barrackpore,106,3,305,58,3,311,2016
127,127,West Bengal,Durgapur,196,4,414,,0,0,2016
128,128,West Bengal,Faridabad,,0,0,,0,0,2016
129,129,West Bengal,Haldia,103,5,416,,0,0,2016
130,130,West Bengal,Howrah,119,3,312,69,6,519,2016
131,131,West Bengal,Kolkata,113,9,886,,0,0,2016
132,132,West Bengal,Raniganj,217,3,312,,0,0,2016
133,1,Andhra Pradesh,Anantapur,78,1,111,,0,0,2017
134,2,Andhra Pradesh,Chitoor,69,2,214,,0,0,2017
135,3,Andhra Pradesh,Eluru,74,1,112,,0,0,2017
136,4,Andhra Pradesh,Guntur,69,1,113,,0,0,2017
137,5,Andhra Pradesh,Kadapa,74,1,111,,0,0,2017
138,6,Andhra Pradesh,Kurnool,82,1,112,,0,0,2017
139,7,Andhra Pradesh,Nellore,65,1,112,,0,0,2017
140,8,Andhra Pradesh,Ongole,65,1,110,,0,0,2017
141,9,Andhra Pradesh,Rajahmundry,65,1,103,,0,0,2017
142,10,Andhra Pradesh,Srikakulam,70,1,111,,0,0,2017
143,11,Andhra Pradesh,Vijaywada,99,3,327,,0,0,2017
144,12,Andhra Pradesh,Vishakhapatnam,73,8,876,,0,0,2017
145,13,Andhra Pradesh,Vizianagaram,72,1,107,,0,0,2017
146,14,Assam,Guwahati,106,6,811,,0,0,2017
147,15,Assam,Nagaon,75,1,82,,0,0,2017
148,16,Assam,Nalbari,95,1,94,,0,0,2017
149,17,Assam,Sibsagar,81,2,193,,0,0,2017
150,18,Assam,Silchar,49,2,168,,0,0,2017
151,19,Bihar,Gaya,77,1,95,,0,0,2017
152,20,Bihar,Muzaffarpur,167,1,103,89,1,103,2017
153,21,Bihar,Patna,157,2,151,,0,0,2017
154,22,Chandigarh,Chandigarh,109,5,709,64,5,676,2017
155,23,Chattisgarh,Durg-Bhillainagar,,0,0,,0,0,2017
156,24,Chattisgarh,Korba,58,2,140,,0,0,2017
157,25,Chattisgarh,Raipur,103,2,115,,0,0,2017
158,26,Delhi,Delhi,240,9,840,101,6,402,2017
159,27,Gujarat,Ahmedabad,120,9,856,38,9,854,2017
160,28,Gujarat,Rajkot,107,2,190,37,2,189,2017
161,29,Gujarat,Surat,106,3,313,35,3,313,2017
162,30,Gujarat,Vadodara,108,5,493,36,5,493,2017
163,31,Himachal Pradesh,Baddi,172,3,263,,0,0,2017
164,32,Himachal Pradesh,Damtal,63,2,259,,0,0,2017
165,33,Himachal Pradesh,Kala Amb,119,2,305,,0,0,2017
166,34,Himachal Pradesh,Nalagarh,147,1,122,,0,0,2017
167,35,Himachal Pradesh,Paonta Sahib,84,2,269,,0,0,2017
168,36,Himachal Pradesh,Parwanoo,65,2,251,20,1,95,2017
169,37,Himachal Pradesh,Sunder Nagar,73,2,257,41,2,192,2017
170,38,Jammu & Kashmir,Jammu,149,3,261,,0,0,2017
171,39,Jammu & Kashmir,Srinagar,,0,0,,0,0,2017
172,40,Jharkhand,Dhanbad,238,3,78,,0,0,2017
173,41,Jharkhand,Jamshedpur,131,2,129,,0,0,2017
174,42,Jharkhand,Ranchi,142,1,101,,0,0,2017
175,43,Karnataka,Bangalore,92,9,772,46,7,464,2017
176,44,Karnataka,Devanagere,87,3,241,22,3,106,2017
177,45,Karnataka,Gulbarga,54,1,89,,0,0,2017
178,46,Karnataka,Hubli-Dharwad,79,2,214,35,2,189,2017
179,47,Madhya Pradesh,Bhopal,93,7,605,42,6,418,2017
180,48,Madhya Pradesh,Dewas,75,3,281,,0,0,2017
181,49,Madhya Pradesh,Gwalior,110,2,191,48,2,192,2017
182,50,Madhya Pradesh,Indore,80,3,274,44,3,191,2017
183,51,Madhya Pradesh,Jabalpur,74,2,200,23,2,198,2017
184,52,Madhya Pradesh,Sagar,70,2,118,25,2,198,2017
185,53,Madhya Pradesh,Ujjain,75,4,354,38,5,345,2017
186,54,Maharashtra,Akola,127,3,291,,0,0,2017
187,55,Maharashtra,Amravati,106,3,251,,0,0,2017
188,56,Maharashtra,Aurangabad,83,3,292,,0,0,2017
189,57,Maharashtra,Badlapur,159,1,75,,0,0,2017
190,58,Maharashtra,Chandrapur,146,6,796,,0,0,2017
191,59,Maharashtra,Jalgaon,77,3,310,,0,0,2017
192,60,Maharashtra,Jalna,101,2,186,,0,0,2017
193,61,Maharashtra,Kolhapur,90,3,273,,0,0,2017
194,62,Maharashtra,Latur,81,3,276,,0,0,2017
195,63,Maharashtra,Mumbai,151,2,175,,0,0,2017
196,64,Maharashtra,Nagpur,102,7,855,,0,0,2017
197,65,Maharashtra,Nashik,81,4,573,,0,0,2017
198,66,Maharashtra,Navi Mumbai,105,6,616,,0,0,2017
199,67,Maharashtra,Pune,102,3,261,,0,0,2017
200,68,Maharashtra,Sangli,76,3,299,,0,0,2017
201,69,Maharashtra,Solapur,64,2,193,,0,0,2017
202,70,Maharashtra,Thane,125,3,266,,0,0,2017
203,71,Maharashtra,Ulhasnagar,150,2,144,,0,0,2017
204,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2017
205,73,Meghalaya,Byrnihat,174,1,104,,0,0,2017
206,74,Nagaland,Dimapur,138,2,184,,0,0,2017
207,75,Nagaland,Kohima,114,2,192,,0,0,2017
208,76,Orissa,Angul,95,2,199,46,2,199,2017
209,77,Orissa,Balasore,83,3,309,45,3,309,2017
210,78,Orissa,Bhubaneswar,91,6,498,36,6,307,2017
211,79,Orissa,Cuttack,87,3,314,43,3,310,2017
212,80,Orissa,Kalinga Nagar,126,3,251,57,3,212,2017
213,81,Orissa,Rourkela,117,6,429,42,5,334,2017
214,82,Orissa,Talcher,96,2,200,45,2,200,2017
215,83,Punjab,Amritsar,168,3,185,,0,0,2017
216,84,Punjab,Dera Baba Nanak,90,1,79,,0,0,2017
217,85,Punjab,Dera Bassi,93,2,260,,0,0,2017
218,86,Punjab,Gobindgarh,136,3,387,,0,0,2017
219,87,Punjab,Jalandhar,223,4,285,,0,0,2017
220,88,Punjab,Khanna,139,2,265,,0,0,2017
221,89,Punjab,Ludhiana,162,4,544,,0,0,2017
222,90,Punjab,Naya Nangal,91,2,246,,0,0,2017
223,91,Punjab,Patiala,102,2,117,,0,0,2017
224,92,Rajasthan,Alwar,134,3,258,,0,0,2017
225,93,Rajasthan,Jaipur,177,9,898,,0,0,2017
226,94,Rajasthan,Jodhpur,180,9,712,,0,0,2017
227,95,Rajasthan,Kota,131,6,489,,0,0,2017
228,96,Rajasthan,Udaipur,125,3,313,,0,0,2017
229,97,Tamil Nadu,Chennai,62,10,898,32,1,83,2017
230,98,Tamil Nadu,Madurai,67,3,285,30,3,114,2017
231,99,Tamil Nadu,Trichy,86,5,479,,0,0,2017
232,100,Tamil Nadu,Tuticorin,132,3,294,,0,0,2017
233,101,Telangana,Hyderabad,108,10,988,54,8,677,2017
234,102,Telangana,Nalgonda,60,2,171,36,1,87,2017
235,103,Telangana,Patancheru,78,1,104,31,1,68,2017
236,104,Telangana,Sangareddy,79,3,293,37,3,282,2017
237,105,Uttar Pradesh,Agra,185,6,657,124,4,425,2017
238,106,Uttar Pradesh,Allahabad,140,5,546,,0,0,2017
239,107,Uttar Pradesh,Anpara,154,2,162,,0,0,2017
240,108,Uttar Pradesh,Bareily,195,2,104,,0,0,2017
241,109,Uttar Pradesh,Firozabad,220,3,184,,0,0,2017
242,110,Uttar Pradesh,Gajraula,207,2,190,,0,0,2017
243,111,Uttar Pradesh,Ghaziabad,281,2,122,,0,0,2017
244,112,Uttar Pradesh,Gorakhpur,186,3,150,,0,0,2017
245,113,Uttar Pradesh,Jhansi,113,2,206,,0,0,2017
246,114,Uttar Pradesh,Kanpur,224,8,654,,0,0,2017
247,115,Uttar Pradesh,Khurja,209,2,184,,0,0,2017
248,116,Uttar Pradesh,Lucknow,246,8,509,102,1,74,2017
249,117,Uttar Pradesh,Meerut,153,2,108,,0,0,2017
250,118,Uttar Pradesh,Moradabad,217,2,172,,0,0,2017
251,119,Uttar Pradesh,Noida,216,2,172,,0,0,2017
252,120,Uttar Pradesh,Raebareli,141,3,224,,0,0,2017
253,121,Uttar Pradesh,Varanasi,244,5,362,,0,0,2017
254,122,Uttarakhand,Dehradun,248,3,135,,0,0,2017
255,123,Uttarakhand,Kashipur,111,1,96,,0,0,2017
256,124,Uttarakhand,Rishikesh,128,1,85,,0,0,2017
257,125,West Bengal,Asansol,163,3,312,67,1,104,2017
258,126,West Bengal,Barrackpore,90,3,312,44,1,104,2017
259,127,West Bengal,Durgapur,155,4,415,69,1,103,2017
260,128,West Bengal,Faridabad,,0,0,,0,0,2017
261,129,West Bengal,Haldia,97,4,416,35,1,104,2017
262,130,West Bengal,Howrah,110,4,416,67,4,420,2017
263,131,West Bengal,Kolkata,120,19,1972,71,2,208,2017
264,132,West Bengal,Raniganj,147,4,414,,0,0,2017
265,1,Andhra Pradesh,Anantapur,71,4,398,34,1,47,2018
266,2,Andhra Pradesh,Chitoor,62,4,289,27,2,67,2018
267,3,Andhra Pradesh,Eluru,67,4,274,,0,0,2018
268,4,Andhra Pradesh,Guntur,49,4,257,,0,0,2018
269,5,Andhra Pradesh,Kadapa,61,5,378,28,1,20,2018
270,6,Andhra Pradesh,Kurnool,66,4,390,26,1,50,2018
271,7,Andhra Pradesh,Nellore,64,4,280,34,1,4,2018
272,8,Andhra Pradesh,Ongole,66,4,208,,0,0,2018
273,9,Andhra Pradesh,Rajahmundry,94,3,142,69,1,12,2018
274,10,Andhra Pradesh,Srikakulam,71,4,323,,0,0,2018
275,11,Andhra Pradesh,Vijaywada,77,9,657,30,3,100,2018
276,12,Andhra Pradesh,Vishakhapatnam,78,9,870,49,8,183,2018
277,13,Andhra Pradesh,Vizianagaram,65,3,308,,0,0,2018
278,14,Assam,Guwahati,112,6,806,67,2,159,2018
279,15,Assam,Nagaon,96,1,99,,0,0,2018
280,16,Assam,Nalbari,97,1,99,,0,0,2018
281,17,Assam,Sibsagar,72,2,207,,0,0,2018
282,18,Assam,Silchar,50,2,179,,0,0,2018
283,19,Bihar,Gaya,89,1,103,,0,0,2018
284,20,Bihar,Muzaffarpur,139,1,107,84,1,107,2018
285,21,Bihar,Patna,208,2,173,,0,0,2018
286,22,Chandigarh,Chandigarh,102,5,678,50,5,616,2018
287,23,Chattisgarh,Durg-Bhillainagar,84,4,346,,0,0,2018
288,24,Chattisgarh,Korba,59,2,196,19,2,103,2018
289,25,Chattisgarh,Raipur,65,2,149,,0,0,2018
290,26,Delhi,Delhi,225,9,919,121,6,362,2018
291,27,Gujarat,Ahmedabad,236,9,929,73,9,929,2018
292,28,Gujarat,Rajkot,203,2,209,64,2,209,2018
293,29,Gujarat,Surat,176,3,313,56,3,313,2018
294,30,Gujarat,Vadodara,188,5,517,60,5,517,2018
295,31,Himachal Pradesh,Baddi,164,3,377,,0,0,2018
296,32,Himachal Pradesh,Damtal,63,2,249,26,2,199,2018
297,33,Himachal Pradesh,Kala Amb,104,2,325,53,2,84,2018
298,34,Himachal Pradesh,Nalagarh,148,1,129,,0,0,2018
299,35,Himachal Pradesh,Paonta Sahib,88,2,282,51,2,161,2018
300,36,Himachal Pradesh,Parwanoo,63,2,257,13,2,84,2018
301,37,Himachal Pradesh,Sunder Nagar,84,2,266,47,2,163,2018
302,38,Jammu & Kashmir,Jammu,164,3,298,45,3,285,2018
303,39,Jammu & Kashmir,Srinagar,153,3,134,,0,0,2018
304,40,Jharkhand,Dhanbad,264,3,256,,0,0,2018
305,41,Jharkhand,Jamshedpur,129,2,182,,0,0,2018
306,42,Jharkhand,Ranchi,122,1,92,,0,0,2018
307,43,Karnataka,Bangalore,90,8,818,47,5,363,2018
308,44,Karnataka,Devanagere,44,2,198,18,2,147,2018
309,45,Karnataka,Gulbarga,55,1,59,41,1,55,2018
310,46,Karnataka,Hubli-Dharwad,75,2,209,26,2,160,2018
311,47,Madhya Pradesh,Bhopal,135,7,729,59,7,693,2018
312,48,Madhya Pradesh,Dewas,68,3,306,49,3,297,2018
313,49,Madhya Pradesh,Gwalior,134,2,166,63,2,165,2018
314,50,Madhya Pradesh,Indore,88,3,315,41,3,292,2018
315,51,Madhya Pradesh,Jabalpur,119,2,204,43,2,204,2018
316,52,Madhya Pradesh,Sagar,76,2,196,30,2,198,2018
317,53,Madhya Pradesh,Ujjain,83,4,416,34,4,284,2018
318,54,Maharashtra,Akola,72,3,318,,0,0,2018
319,55,Maharashtra,Amravati,104,3,260,,0,0,2018
320,56,Maharashtra,Aurangabad,70,3,247,,0,0,2018
321,57,Maharashtra,Badlapur,144,1,82,,0,0,2018
322,58,Maharashtra,Chandrapur,149,6,831,,0,0,2018
323,59,Maharashtra,Jalgaon,74,3,330,,0,0,2018
324,60,Maharashtra,Jalna,103,2,178,,0,0,2018
325,61,Maharashtra,Kolhapur,90,3,297,,0,0,2018
326,62,Maharashtra,Latur,95,3,317,,0,0,2018
327,63,Maharashtra,Mumbai,165,3,212,46,1,96,2018
328,64,Maharashtra,Nagpur,109,6,590,44,1,96,2018
329,65,Maharashtra,Nashik,82,5,929,,0,0,2018
330,66,Maharashtra,Navi Mumbai,71,6,595,,0,0,2018
331,67,Maharashtra,Pune,106,3,255,,0,0,2018
332,68,Maharashtra,Sangli,84,3,308,,0,0,2018
333,69,Maharashtra,Solapur,71,2,207,,0,0,2018
334,70,Maharashtra,Thane,107,3,271,,0,0,2018
335,71,Maharashtra,Ulhasnagar,123,2,164,,0,0,2018
336,72,Maharashtra,Vasai-Virar,,0,0,,0,0,2018
337,73,Meghalaya,Byrnihat,166,1,108,,0,0,2018
338,74,Nagaland,Dimapur,135,2,223,,0,0,2018
339,75,Nagaland,Kohima,105,2,222,,0,0,2018
340,76,Orissa,Angul,101,2,211,50,2,211,2018
341,77,Orissa,Balasore,86,3,312,47,3,312,2018
342,78,Orissa,Bhubaneswar,99,6,522,32,6,374,2018
343,79,Orissa,Cuttack,114,3,266,50,3,266,2018
344,80,Orissa,Kalinga Nagar,118,2,186,58,2,91,2018
345,81,Orissa,Rourkela,109,4,401,46,4,390,2018
346,82,Orissa,Talcher,111,2,208,50,2,208,2018
347,83,Punjab,Amritsar,177,2,193,,0,0,2018
348,84,Punjab,Dera Baba Nanak,81,1,118,,0,0,2018
349,85,Punjab,Dera Bassi,95,2,230,,0,0,2018
350,86,Punjab,Gobindgarh,121,3,367,,0,0,2018
351,87,Punjab,Jalandhar,153,4,449,,0,0,2018
352,88,Punjab,Khanna,135,2,180,,0,0,2018
353,89,Punjab,Ludhiana,162,4,560,,0,0,2018
354,90,Punjab,Naya Nangal,91,2,241,,0,0,2018
355,91,Punjab,Patiala,98,2,260,,0,0,2018
356,92,Rajasthan,Alwar,183,3,301,,0,0,2018
357,93,Rajasthan,Jaipur,165,9,867,,0,0,2018
358,94,Rajasthan,Jodhpur,223,9,831,,0,0,2018
359,95,Rajasthan,Kota,152,6,589,,0,0,2018
360,96,Rajasthan,Udaipur,147,3,313,,0,0,2018
361,97,Tamil Nadu,Chennai,78,11,967,34,8,582,2018
362,98,Tamil Nadu,Madurai,83,3,286,35,3,145,2018
363,99,Tamil Nadu,Trichy,110,5,476,53,5,475,2018
364,100,Tamil Nadu,Tuticorin,102,3,292,25,3,291,2018
365,101,Telangana,Hyderabad,105,10,1020,55,8,594,2018
366,102,Telangana,Nalgonda,60,2,144,49,2,22,2018
367,103,Telangana,Patancheru,81,1,85,37,1,74,2018
368,104,Telangana,Sangareddy,81,3,258,39,3,222,2018
369,105,Uttar Pradesh,Agra,209,6,812,106,4,510,2018
370,106,Uttar Pradesh,Allahabad,231,5,535,,0,0,2018
371,107,Uttar Pradesh,Anpara,191,2,196,,0,0,2018
372,108,Uttar Pradesh,Bareily,233,2,209,,0,0,2018
373,109,Uttar Pradesh,Firozabad,226,3,309,,0,0,2018
374,110,Uttar Pradesh,Gajraula,225,2,199,,0,0,2018
375,111,Uttar Pradesh,Ghaziabad,245,2,181,103,2,181,2018
376,112,Uttar Pradesh,Gorakhpur,218,3,315,,0,0,2018
377,113,Uttar Pradesh,Jhansi,96,2,238,,0,0,2018
378,114,Uttar Pradesh,Kanpur,210,9,804,83,1,140,2018
379,115,Uttar Pradesh,Khurja,214,2,171,,0,0,2018
